wet_audio_file,source_dry,source_rir,room_type,t30_1000Hz,t30_2000Hz,t30_4000Hz,t30_broadband
wet_bagno_050.wav,5694-64025-0013.flac,bagno_variants_150/bagno_050.wav,bagno,1.876,1.847,1.655,1.704
wet_bagno_051.wav,7850-281318-0020.flac,bagno_variants_150/bagno_051.wav,bagno,1.783,1.923,1.729,1.735
wet_bagno_052.wav,174-168635-0009.flac,bagno_variants_150/bagno_052.wav,bagno,1.911,1.823,1.539,1.724
wet_bagno_054.wav,7850-281318-0020.flac,bagno_variants_150/bagno_054.wav,bagno,1.662,1.763,1.551,1.537
wet_bagno_055.wav,7850-281318-0020.flac,bagno_variants_150/bagno_055.wav,bagno,1.72,1.717,1.511,1.527
wet_bagno_056.wav,6295-64301-0004.flac,bagno_variants_150/bagno_056.wav,bagno,1.758,1.812,1.613,1.61
wet_bagno_057.wav,251-137823-0024.flac,bagno_variants_150/bagno_057.wav,bagno,1.672,1.844,1.656,1.603
wet_bagno_058.wav,1462-170142-0032.flac,bagno_variants_150/bagno_058.wav,bagno,1.693,1.643,1.594,1.459
wet_bagno_059.wav,1462-170145-0019.flac,bagno_variants_150/bagno_059.wav,bagno,1.744,1.735,1.602,1.588
wet_bagno_064.wav,174-50561-0012.flac,bagno_variants_150/bagno_064.wav,bagno,1.707,1.875,1.652,1.635
wet_bagno_065.wav,3752-4944-0044.flac,bagno_variants_150/bagno_065.wav,bagno,1.749,1.826,1.544,1.62
wet_bagno_066.wav,174-84280-0010.flac,bagno_variants_150/bagno_066.wav,bagno,1.637,1.732,1.615,1.514
wet_bagno_068.wav,6241-61943-0021.flac,bagno_variants_150/bagno_068.wav,bagno,1.804,1.885,1.566,1.715
wet_bagno_069.wav,3752-4943-0019.flac,bagno_variants_150/bagno_069.wav,bagno,1.559,1.58,1.492,1.389
wet_bagno_070.wav,1988-24833-0028.flac,bagno_variants_150/bagno_070.wav,bagno,1.826,1.87,1.692,1.69
wet_bagno_071.wav,5694-64029-0018.flac,bagno_variants_150/bagno_071.wav,bagno,1.818,1.812,1.47,1.577
wet_bagno_072.wav,174-50561-0014.flac,bagno_variants_150/bagno_072.wav,bagno,1.829,1.787,1.528,1.567
wet_bagno_073.wav,174-84280-0010.flac,bagno_variants_150/bagno_073.wav,bagno,1.503,1.708,1.567,1.437
wet_bagno_074.wav,2035-147961-0027.flac,bagno_variants_150/bagno_074.wav,bagno,1.612,1.828,1.613,1.595
wet_bagno_075.wav,251-137823-0012.flac,bagno_variants_150/bagno_075.wav,bagno,1.936,1.918,1.826,1.761
wet_bagno_076.wav,251-136532-0022.flac,bagno_variants_150/bagno_076.wav,bagno,1.558,1.41,1.38,1.288
wet_bagno_077.wav,8297-275155-0027.flac,bagno_variants_150/bagno_077.wav,bagno,1.826,1.789,1.519,1.645
wet_bagno_078.wav,174-168635-0014.flac,bagno_variants_150/bagno_078.wav,bagno,1.905,1.869,1.784,1.715
wet_bagno_079.wav,6295-64301-0019.flac,bagno_variants_150/bagno_079.wav,bagno,2.058,1.943,1.871,1.829
wet_bagno_080.wav,1462-170145-0002.flac,bagno_variants_150/bagno_080.wav,bagno,1.654,1.701,1.724,1.561
wet_bagno_081.wav,3752-4944-0042.flac,bagno_variants_150/bagno_081.wav,bagno,1.498,1.687,1.644,1.482
wet_bagno_082.wav,2428-83705-0008.flac,bagno_variants_150/bagno_082.wav,bagno,1.913,1.85,1.67,1.679
wet_bagno_083.wav,2086-149220-0038.flac,bagno_variants_150/bagno_083.wav,bagno,1.403,1.384,1.417,1.262
wet_bagno_084.wav,1462-170145-0019.flac,bagno_variants_150/bagno_084.wav,bagno,2.003,1.987,1.891,1.807
wet_bagno_085.wav,1919-142785-0000.flac,bagno_variants_150/bagno_085.wav,bagno,1.678,1.736,1.488,1.532
wet_bagno_086.wav,7850-286674-0006.flac,bagno_variants_150/bagno_086.wav,bagno,1.769,1.808,1.631,1.618
wet_bagno_089.wav,2086-149220-0043.flac,bagno_variants_150/bagno_089.wav,bagno,1.882,1.87,1.782,1.724
wet_bagno_090.wav,1462-170145-0002.flac,bagno_variants_150/bagno_090.wav,bagno,1.501,1.693,1.568,1.492
wet_bagno_091.wav,5338-284437-0003.flac,bagno_variants_150/bagno_091.wav,bagno,1.531,1.649,1.637,1.509
wet_bagno_092.wav,2428-83705-0036.flac,bagno_variants_150/bagno_092.wav,bagno,1.764,1.818,1.547,1.634
wet_bagno_093.wav,7850-281318-0020.flac,bagno_variants_150/bagno_093.wav,bagno,1.654,1.739,1.529,1.549
wet_bagno_094.wav,3752-4943-0019.flac,bagno_variants_150/bagno_094.wav,bagno,1.551,1.59,1.66,1.477
wet_bagno_095.wav,5694-64029-0017.flac,bagno_variants_150/bagno_095.wav,bagno,1.668,1.685,1.459,1.498
wet_bagno_096.wav,6313-76958-0020.flac,bagno_variants_150/bagno_096.wav,bagno,1.827,1.787,1.633,1.646
wet_bagno_097.wav,6295-64301-0014.flac,bagno_variants_150/bagno_097.wav,bagno,1.802,1.836,1.728,1.691
wet_bagno_098.wav,5694-64029-0014.flac,bagno_variants_150/bagno_098.wav,bagno,1.496,1.569,1.621,1.458
wet_bagno_099.wav,6295-244435-0000.flac,bagno_variants_150/bagno_099.wav,bagno,1.949,2.028,1.813,1.818
wet_bagno_101.wav,1462-170142-0011.flac,bagno_variants_150/bagno_101.wav,bagno,1.773,1.842,1.809,1.72
wet_bagno_102.wav,1988-24833-0023.flac,bagno_variants_150/bagno_102.wav,bagno,1.661,1.826,1.492,1.545
wet_bagno_103.wav,1462-170145-0010.flac,bagno_variants_150/bagno_103.wav,bagno,1.435,1.569,1.564,1.423
wet_bagno_106.wav,1272-135031-0016.flac,bagno_variants_150/bagno_106.wav,bagno,1.491,1.515,1.411,1.299
wet_bagno_108.wav,6241-61943-0021.flac,bagno_variants_150/bagno_108.wav,bagno,1.506,1.622,1.634,1.464
wet_bagno_109.wav,8297-275154-0018.flac,bagno_variants_150/bagno_109.wav,bagno,1.777,1.848,1.682,1.589
wet_bagno_110.wav,1272-141231-0020.flac,bagno_variants_150/bagno_110.wav,bagno,1.589,1.723,1.626,1.525
wet_bagno_111.wav,3853-163249-0050.flac,bagno_variants_150/bagno_111.wav,bagno,1.763,1.762,1.527,1.55
wet_bagno_113.wav,1919-142785-0012.flac,bagno_variants_150/bagno_113.wav,bagno,1.715,1.802,1.717,1.615
wet_bagno_114.wav,1988-24833-0023.flac,bagno_variants_150/bagno_114.wav,bagno,1.677,1.69,1.691,1.583
wet_bagno_115.wav,3752-4943-0006.flac,bagno_variants_150/bagno_115.wav,bagno,1.439,1.551,1.614,1.395
wet_bagno_116.wav,8297-275154-0005.flac,bagno_variants_150/bagno_116.wav,bagno,1.428,1.423,1.418,1.308
wet_bagno_117.wav,3752-4943-0030.flac,bagno_variants_150/bagno_117.wav,bagno,1.613,1.54,1.425,1.333
wet_bagno_119.wav,1988-24833-0026.flac,bagno_variants_150/bagno_119.wav,bagno,1.565,1.517,1.502,1.348
wet_bagno_120.wav,2428-83705-0008.flac,bagno_variants_150/bagno_120.wav,bagno,1.668,1.674,1.642,1.529
wet_bagno_122.wav,6313-76958-0030.flac,bagno_variants_150/bagno_122.wav,bagno,1.772,1.908,1.768,1.676
wet_bagno_123.wav,1462-170142-0024.flac,bagno_variants_150/bagno_123.wav,bagno,1.91,1.982,1.767,1.789
wet_bagno_124.wav,1272-135031-0016.flac,bagno_variants_150/bagno_124.wav,bagno,1.588,1.474,1.443,1.33
wet_bagno_126.wav,251-137823-0023.flac,bagno_variants_150/bagno_126.wav,bagno,1.592,1.562,1.677,1.507
wet_bagno_127.wav,1462-170142-0014.flac,bagno_variants_150/bagno_127.wav,bagno,1.736,1.953,1.708,1.708
wet_bagno_128.wav,1919-142785-0012.flac,bagno_variants_150/bagno_128.wav,bagno,1.774,1.872,1.708,1.674
wet_bagno_130.wav,5694-64038-0021.flac,bagno_variants_150/bagno_130.wav,bagno,1.468,1.532,1.502,1.34
wet_bagno_132.wav,6295-64301-0019.flac,bagno_variants_150/bagno_132.wav,bagno,1.949,1.821,1.507,1.72
wet_bagno_133.wav,6295-64301-0031.flac,bagno_variants_150/bagno_133.wav,bagno,1.773,1.873,1.638,1.65
wet_bagno_136.wav,2428-83705-0009.flac,bagno_variants_150/bagno_136.wav,bagno,1.878,1.754,1.575,1.582
wet_bagno_137.wav,1462-170142-0024.flac,bagno_variants_150/bagno_137.wav,bagno,1.819,1.934,1.542,1.712
wet_bagno_138.wav,3752-4944-0042.flac,bagno_variants_150/bagno_138.wav,bagno,1.894,1.887,1.797,1.706
wet_bagno_139.wav,2428-83699-0022.flac,bagno_variants_150/bagno_139.wav,bagno,1.509,1.478,1.543,1.394
wet_bagno_140.wav,1462-170142-0014.flac,bagno_variants_150/bagno_140.wav,bagno,1.6,1.62,1.554,1.41
wet_bagno_142.wav,8297-275155-0021.flac,bagno_variants_150/bagno_142.wav,bagno,1.673,1.846,1.548,1.546
wet_bagno_144.wav,2428-83699-0026.flac,bagno_variants_150/bagno_144.wav,bagno,1.726,1.821,1.593,1.596
wet_bagno_145.wav,1462-170145-0012.flac,bagno_variants_150/bagno_145.wav,bagno,1.782,1.914,1.663,1.667
wet_bagno_146.wav,8842-304647-0007.flac,bagno_variants_150/bagno_146.wav,bagno,1.729,1.799,1.673,1.619
wet_bagno_147.wav,2086-149220-0039.flac,bagno_variants_150/bagno_147.wav,bagno,2.068,2.034,1.926,1.881
wet_bagno_149.wav,251-137823-0000.flac,bagno_variants_150/bagno_149.wav,bagno,1.464,1.444,1.469,1.353
wet_bagno_150.wav,2086-149220-0047.flac,bagno_variants_150/bagno_150.wav,bagno,1.68,1.777,1.691,1.615
wet_biblioteca_001.wav,2277-149896-0033.flac,biblioteca_variants_150/biblioteca_001.wav,biblioteca,5.774,4.416,3.238,3.83
wet_biblioteca_002.wav,1272-141231-0004.flac,biblioteca_variants_150/biblioteca_002.wav,biblioteca,0.983,0.955,0.948,0.978
wet_biblioteca_003.wav,2902-9008-0016.flac,biblioteca_variants_150/biblioteca_003.wav,biblioteca,5.132,5.605,3.288,5.863
